title,price,house_area,land_area,location,date_posted
Дом 56 м² на участке 5 сот.,6 299 999 ₽,56 м²,5 сот.,"ЛобняДмитровское шоссе, 17 км",23 апреля 13:55
"Дача 15 м² на участке 2,6 сот.",2 049 000 ₽,15 м²,"2,6 сот.","КоролёвЯрославское шоссе, 7 км",6 февраля 10:41
Дом 412 м² на участке 15 сот.,19 500 000 ₽,412 м²,15 сот.,"д. ЛарюшиноИльинское шоссе, 24 км",7 ноября 2024
Коттедж 130 м² на участке 6 сот.,20 500 000 ₽,130 м²,6 сот.,"квартал дачной застройки БризеПятницкое шоссе, 10 км",9 июля 12:12
Дом 430 м² на участке 15 сот.,90 000 000 ₽,430 м²,15 сот.,"коттеджный пос. Русская д.Волоколамское шоссе, 25 км",10 марта 16:33
Дом 830 м² на участке 20 сот.,48 933 360 ₽,830 м²,20 сот.,"с. УспенскоеРублёво-Успенское шоссе, 21 км",18 февраля 2022
Дача 52 м² на участке 9 сот.,2 350 000 ₽,52 м²,9 сот.,"Электрогорск, садовое товарищество ВерескГорьковское шоссе, 58 км",10 марта 17:29
Дом 90 м² на участке 6 сот.,7 500 000 ₽,90 м²,6 сот.,"СНТ ДубраваВолоколамское шоссе, 20 км",1 неделю назад
Дача 50 м² на участке 6 сот.,1 200 000 ₽,50 м²,6 сот.,"садоводческое некоммерческое товарищество ДружбаДмитровское шоссе, 84 км",8 мая 2024
Дом 220 м² на участке 8 сот.,28 000 000 ₽,220 м²,8 сот.,"с. Домодедово,КП ФорвардВаршавское шоссе, 13 км",6 августа 19:34
Дом 50 м² на участке 12 сот.,1 899 000 ₽,50 м²,12 сот.,"пгт. ЧерустиЕгорьевское шоссе, 137 км",29 апреля 11:30
Дом 30 м² на участке 15 сот.,2 500 000 ₽,30 м²,15 сот.,"д. БазулиноНовокаширское шоссе, 32 км",24 января 11:41
Дом 450 м² на участке 22 сот.,480 000 000 ₽,450 м²,22 сот.,"с. Знаменское, коттеджный пос. Севен хиллсРублёво-Успенское шоссе, 15 км",8 августа 12:49
"Дом 162 м² на участке 14,7 сот.",11 400 000 ₽,162 м²,"14,7 сот.","КП Долина озёрКаширское шоссе, 34 км",7 августа 21:46
Дом 270 м² на участке 17 сот.,6 900 000 ₽,270 м²,17 сот.,"д. Капорки, коттеджный пос. Альпийская ДолинаДмитровское шоссе, 42 км",1 неделю назад
Дом 174 м² на участке 15 сот.,8 500 000 ₽,174 м²,15 сот.,"с. ГородняКаширское шоссе, 64 км",26 июня 09:31
Дом 105 м² на участке 6 сот.,12 500 000 ₽,105 м²,6 сот.,"РаменскоеЕгорьевское шоссе, 29 км",3 дня назад
Дом 58 м² на участке 15 сот.,2 600 000 ₽,58 м²,15 сот.,"д. ЧижевоДмитровское шоссе, 68 км",19 января 21:55
"Дом 60,1 м² на участке 12,8 сот.",8 800 000 ₽,"60,1 м²","12,8 сот.","пос. РассудовоКиевское шоссе, 38 км",8 июля 09:20
"Коттедж 187 м² на участке 7,5 сот.",14 999 999 ₽,187 м²,"7,5 сот.","д. КозиноПятницкое шоссе, 15 км",1 неделю назад
Дом 870 м² на участке 23 сот.,140 000 000 ₽,870 м²,23 сот.,"д. Чесноково, КП Ренессанс паркМинское шоссе, 19 км",8 августа 13:12
Дача 36 м² на участке 3 сот.,3 290 000 ₽,36 м²,3 сот.,"садовое товарищество Вымпел-1Волоколамское шоссе, 17 км",6 августа 13:48
Дом 1800 м² на участке 70 сот.,350 000 000 ₽,1800 м²,70 сот.,"коттеджный пос. Знаменское-1Рублёво-Успенское шоссе, 13 км",10 марта 14:21
"Дом 37,6 м² на участке 12 сот.",1 250 000 ₽,"37,6 м²",12 сот.,"СНТ ПирочиНоворязанское шоссе, 101 км",6 июня 18:23
Дом 154 м² на участке 7 сот.,11 999 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 26 км",9 августа 10:40
Дом 95 м² на участке 5 сот.,5 545 000 ₽,95 м²,5 сот.,"д. БреховоМожайское шоссе, 35 км",1 неделю назад
"Дом 118,4 м² на участке 7,4 сот.",16 500 000 ₽,"118,4 м²","7,4 сот.","СНТ ДубраваПятницкое шоссе, 25 км",3 дня назад
Дом 160 м² на участке 8 сот.,6 500 000 ₽,160 м²,8 сот.,"СНТ коттеджный пос. НикольскоеКиевское шоссе, 65 км",18 июня 14:01
Дом 170 м² на участке 6 сот.,18 999 000 ₽,170 м²,6 сот.,"дп. КокошкиноБоровское шоссе, 18 км",3 часа назад
"Дом 42,6 м² на участке 30 сот.",1 230 000 ₽,"42,6 м²",30 сот.,"д. Большое ИльинскоеКаширское шоссе, 110 км",7 июня 12:39
"Дом 226,9 м² на участке 20,2 сот.",29 000 000 ₽,"226,9 м²","20,2 сот.","д. Куртниково, КИЗ Борисоглебский-3Волоколамское шоссе, 48 км",8 июля 17:03
Коттедж 136 м² на участке 10 сот.,10 900 000 ₽,136 м²,10 сот.,"СолнечногорскРогачёвское шоссе, 49 км",4 августа 14:16
"Дом 170 м² на участке 6,3 сот.",14 400 000 ₽,170 м²,"6,3 сот.","д. ТитовоНоворязанское шоссе, 13 км",17 сентября 2024
Дом 140 м² на участке 9 сот.,2 890 000 ₽,140 м²,9 сот.,"д. ФедцовоНоворижское шоссе, 103 км",6 января 2022
Дом 125 м² на участке 10 сот.,10 990 000 ₽,125 м²,10 сот.,"д. МаньковоЯрославское шоссе, 59 км",8 июля 20:33
"Дом 106 м² на участке 5,2 сот.",19 900 000 ₽,106 м²,"5,2 сот.","ТроицкКалужское шоссе, 18 км",8 апреля 10:03
"Дом 158,6 м² на участке 5,9 сот.",19 500 000 ₽,"158,6 м²","5,9 сот.","коттеджный пос. Берег ПесочнойВолоколамское шоссе, 31 км",6 июля 19:18
Коттедж 200 м² на участке 12 сот.,8 300 000 ₽,200 м²,12 сот.,"д. МуковниноВаршавское шоссе, 63 км",28 марта 2024
"Коттедж 187,1 м² на участке 7,6 сот.",34 950 000 ₽,"187,1 м²","7,6 сот.","с. Былово, коттеджный пос. ФортопсКалужское шоссе, 24 км",3 февраля 13:41
"Дом 105 м² на участке 6,6 сот.",16 463 434 ₽,105 м²,"6,6 сот.","МытищиОсташковское шоссе, 3 км",16 мая 17:24
Дом 300 м² на участке 15 сот.,13 500 000 ₽,300 м²,15 сот.,"д. КорыстовоКаширское шоссе, 91 км",2 мая 04:03
"Дача 15 м² на участке 2,6 сот.",2 049 000 ₽,15 м²,"2,6 сот.","КоролёвЯрославское шоссе, 7 км",6 февраля 10:41
Дом 223 м² на участке 10 сот.,23 000 000 ₽,223 м²,10 сот.,"ЭлектроуглиНосовихинское шоссе, 25 км",3 дня назад
Дом 125 м² на участке 6 сот.,13 500 000 ₽,125 м²,6 сот.,"КП Бисерово-ОзёрноеГорьковское шоссе, 19 км",3 часа назад
"Дача 36,2 м² на участке 5,1 сот.",2 800 000 ₽,"36,2 м²","5,1 сот.","д. КарповоДмитровское шоссе, 52 км",7 июля 15:26
"Дом 35,2 м² на участке 6,6 сот.",6 730 000 ₽,"35,2 м²","6,6 сот.","ДомодедовоНовокаширское шоссе, 14 км",4 часа назад
Дом 370 м² на участке 12 сот.,69 000 000 ₽,370 м²,12 сот.,"коттеджный пос. Княжье ОзероВолоколамское шоссе, 21 км",10 октября 2024
"Дача 56,6 м² на участке 11 сот.",2 200 000 ₽,"56,6 м²",11 сот.,"д. МитиноЕгорьевское шоссе, 61 км",17 октября 2024
Дом 65 м² на участке 12 сот.,4 400 000 ₽,65 м²,12 сот.,"ЭлектрогорскГорьковское шоссе, 61 км",30 мая 2024
Дом 56 м² на участке 5 сот.,6 299 999 ₽,56 м²,5 сот.,"ЛобняДмитровское шоссе, 17 км",23 апреля 13:55
Дом 412 м² на участке 15 сот.,19 500 000 ₽,412 м²,15 сот.,"д. ЛарюшиноИльинское шоссе, 24 км",7 ноября 2024
"Дом 125,6 м² на участке 8,5 сот.",16 900 000 ₽,"125,6 м²","8,5 сот.","д. Курганье, коттеджный пос. ЯсныйНовокаширское шоссе, 32 км",25 сентября 2024
Коттедж 130 м² на участке 6 сот.,20 500 000 ₽,130 м²,6 сот.,"квартал дачной застройки БризеПятницкое шоссе, 10 км",9 июля 12:12
Дом 830 м² на участке 20 сот.,48 933 360 ₽,830 м²,20 сот.,"с. УспенскоеРублёво-Успенское шоссе, 21 км",18 февраля 2022
"Дом 120 м² на участке 7,5 сот.",8 400 000 ₽,120 м²,"7,5 сот.","д. Минаево, КП Южный паркНовокаширское шоссе, 35 км",6 августа 16:30
Дом 35 м² на участке 25 сот.,699 000 ₽,35 м²,25 сот.,"д. ВяхиревоЕгорьевское шоссе, 120 км",30 января 13:09
Дача 50 м² на участке 6 сот.,1 200 000 ₽,50 м²,6 сот.,"садоводческое некоммерческое товарищество ДружбаДмитровское шоссе, 84 км",8 мая 2024
Дом 110 м² на участке 9 сот.,11 500 000 ₽,110 м²,9 сот.,"д. ЧерепковоНосовихинское шоссе, 22 км",16 октября 2023
Дом 220 м² на участке 8 сот.,28 000 000 ₽,220 м²,8 сот.,"с. Домодедово,КП ФорвардВаршавское шоссе, 13 км",6 августа 19:34
"Дом 157,3 м² на участке 11 сот.",7 500 000 ₽,"157,3 м²",11 сот.,"коттеджный пос. БуниноНовокаширское шоссе, 33 км",6 июня 17:12
Дом 30 м² на участке 15 сот.,2 500 000 ₽,30 м²,15 сот.,"д. БазулиноНовокаширское шоссе, 32 км",24 января 11:41
Дом 450 м² на участке 22 сот.,480 000 000 ₽,450 м²,22 сот.,"с. Знаменское, коттеджный пос. Севен хиллсРублёво-Успенское шоссе, 15 км",8 августа 12:49
Дом 270 м² на участке 17 сот.,6 900 000 ₽,270 м²,17 сот.,"д. Капорки, коттеджный пос. Альпийская ДолинаДмитровское шоссе, 42 км",1 неделю назад
Дом 174 м² на участке 15 сот.,8 500 000 ₽,174 м²,15 сот.,"с. ГородняКаширское шоссе, 64 км",26 июня 09:31
"Коттедж 120 м² на участке 7,5 сот.",6 800 000 ₽,120 м²,"7,5 сот.","СНТ ХотьковоЯрославское шоссе, 49 км",30 мая 14:46
Дом 105 м² на участке 6 сот.,12 500 000 ₽,105 м²,6 сот.,"РаменскоеЕгорьевское шоссе, 29 км",3 дня назад
Дом 58 м² на участке 15 сот.,2 600 000 ₽,58 м²,15 сот.,"д. ЧижевоДмитровское шоссе, 68 км",19 января 21:55
"Дом 60,1 м² на участке 12,8 сот.",8 800 000 ₽,"60,1 м²","12,8 сот.","пос. РассудовоКиевское шоссе, 38 км",8 июля 09:20
"Коттедж 187 м² на участке 7,5 сот.",14 999 999 ₽,187 м²,"7,5 сот.","д. КозиноПятницкое шоссе, 15 км",1 неделю назад
Дом 870 м² на участке 23 сот.,140 000 000 ₽,870 м²,23 сот.,"д. Чесноково, КП Ренессанс паркМинское шоссе, 19 км",8 августа 13:12
Дом 50 м² на участке 9 сот.,4 500 000 ₽,50 м²,9 сот.,"ЧеховСимферопольское шоссе, 50 км",25 февраля 12:31
Дача 36 м² на участке 3 сот.,3 290 000 ₽,36 м²,3 сот.,"садовое товарищество Вымпел-1Волоколамское шоссе, 17 км",6 августа 13:48
Дом 1800 м² на участке 70 сот.,350 000 000 ₽,1800 м²,70 сот.,"коттеджный пос. Знаменское-1Рублёво-Успенское шоссе, 13 км",10 марта 14:21
"Дом 37,6 м² на участке 12 сот.",1 250 000 ₽,"37,6 м²",12 сот.,"СНТ ПирочиНоворязанское шоссе, 101 км",6 июня 18:23
Дом 90 м² на участке 6 сот.,7 500 000 ₽,90 м²,6 сот.,"СНТ ДубраваВолоколамское шоссе, 20 км",1 неделю назад
Дача 50 м² на участке 6 сот.,1 200 000 ₽,50 м²,6 сот.,"садоводческое некоммерческое товарищество ДружбаДмитровское шоссе, 84 км",8 мая 2024
Дом 220 м² на участке 8 сот.,28 000 000 ₽,220 м²,8 сот.,"с. Домодедово,КП ФорвардВаршавское шоссе, 13 км",6 августа 19:34
Дом 50 м² на участке 12 сот.,1 899 000 ₽,50 м²,12 сот.,"пгт. ЧерустиЕгорьевское шоссе, 137 км",29 апреля 11:30
Дом 30 м² на участке 15 сот.,2 500 000 ₽,30 м²,15 сот.,"д. БазулиноНовокаширское шоссе, 32 км",24 января 11:41
Дом 450 м² на участке 22 сот.,480 000 000 ₽,450 м²,22 сот.,"с. Знаменское, коттеджный пос. Севен хиллсРублёво-Успенское шоссе, 15 км",8 августа 12:49
"Дом 162 м² на участке 14,7 сот.",11 400 000 ₽,162 м²,"14,7 сот.","КП Долина озёрКаширское шоссе, 34 км",7 августа 21:46
Дом 270 м² на участке 17 сот.,6 900 000 ₽,270 м²,17 сот.,"д. Капорки, коттеджный пос. Альпийская ДолинаДмитровское шоссе, 42 км",1 неделю назад
Дом 174 м² на участке 15 сот.,8 500 000 ₽,174 м²,15 сот.,"с. ГородняКаширское шоссе, 64 км",26 июня 09:31
Дом 105 м² на участке 6 сот.,12 500 000 ₽,105 м²,6 сот.,"РаменскоеЕгорьевское шоссе, 29 км",3 дня назад
Дом 58 м² на участке 15 сот.,2 600 000 ₽,58 м²,15 сот.,"д. ЧижевоДмитровское шоссе, 68 км",19 января 21:55
"Дом 60,1 м² на участке 12,8 сот.",8 800 000 ₽,"60,1 м²","12,8 сот.","пос. РассудовоКиевское шоссе, 38 км",8 июля 09:20
"Коттедж 187 м² на участке 7,5 сот.",14 999 999 ₽,187 м²,"7,5 сот.","д. КозиноПятницкое шоссе, 15 км",1 неделю назад
Дом 870 м² на участке 23 сот.,140 000 000 ₽,870 м²,23 сот.,"д. Чесноково, КП Ренессанс паркМинское шоссе, 19 км",8 августа 13:12
Дача 36 м² на участке 3 сот.,3 290 000 ₽,36 м²,3 сот.,"садовое товарищество Вымпел-1Волоколамское шоссе, 17 км",6 августа 13:48
Дом 1800 м² на участке 70 сот.,350 000 000 ₽,1800 м²,70 сот.,"коттеджный пос. Знаменское-1Рублёво-Успенское шоссе, 13 км",10 марта 14:21
"Дом 37,6 м² на участке 12 сот.",1 250 000 ₽,"37,6 м²",12 сот.,"СНТ ПирочиНоворязанское шоссе, 101 км",6 июня 18:23
"Дача 84 м² на участке 8,1 сот.",2 400 000 ₽,84 м²,"8,1 сот.","СНТ КупавнаДмитровское шоссе, 74 км",5 июня 17:30
"Дача 45 м² на участке 7,5 сот.",480 000 ₽,45 м²,"7,5 сот.","СНТ Росинка-5Новорязанское шоссе, 120 км",5 мая 17:47
Дом 120 м² на участке 10 сот.,5 500 000 ₽,120 м²,10 сот.,"ВоскресенскНоворязанское шоссе, 59 км",19 февраля 13:50
Дача 70 м² на участке 8 сот.,2 800 000 ₽,70 м²,8 сот.,"СНТ СигналСимферопольское шоссе, 53 км",2 июня 13:06
Дом 170 м² на участке 8 сот.,33 000 000 ₽,170 м²,8 сот.,"КП Аква ВилладжПятницкое шоссе, 41 км",25 июня 05:23
Дом 110 м² на участке 7 сот.,14 999 000 ₽,110 м²,7 сот.,"д. Барское-МелечкиноЛенинградское шоссе, 50 км",8 июля 16:40
Дом 50 м² на участке 6 сот.,1 350 000 ₽,50 м²,6 сот.,"Клин, СНТСН УрожайЛенинградское шоссе, 72 км",2 августа 17:14
Дом 50 м² на участке 9 сот.,4 500 000 ₽,50 м²,9 сот.,"ЧеховСимферопольское шоссе, 50 км",25 февраля 12:31
"Коттедж 150 м² на участке 7,5 сот.",17 000 000 ₽,150 м²,"7,5 сот.","КП АльбионВолоколамское шоссе, 27 км",10 августа 10:47
Дом 170 м² на участке 6 сот.,17 000 000 ₽,170 м²,6 сот.,"д. Соколово, КП Ново-СоколовоЩёлковское шоссе, 39 км",7 августа 14:38
Дом 80 м² на участке 8 сот.,3 300 000 ₽,80 м²,8 сот.,"д. ВасилёвоНоворязанское шоссе, 34 км",15 июня 2023
Дом 120 м² на участке 1 сот.,8 000 000 ₽,120 м²,1 сот.,"КрасногорскПятницкое шоссе, 5 км",21 мая 14:47
"Дом 104,3 м² на участке 6,5 сот.",13 500 000 ₽,"104,3 м²","6,5 сот.","СНТ АндреевскоеВолоколамское шоссе, 34 км",4 ноября 2023
Дом 92 м² на участке 6 сот.,2 950 000 ₽,92 м²,6 сот.,"СНТ БерёзкиВолоколамское шоссе, 44 км",5 августа 20:33
"Дача 40 м² на участке 7,5 сот.",1 350 000 ₽,40 м²,"7,5 сот.","РошальЕгорьевское шоссе, 128 км",30 июля 18:04
Дача 36 м² на участке 6 сот.,630 000 ₽,36 м²,6 сот.,"СНТ АлфёровскоеНоворязанское шоссе, 119 км",5 июня 13:10
Дом 85 м² на участке 5 сот.,3 745 000 ₽,85 м²,5 сот.,"дп. БережкиПятницкое шоссе, 44 км",23 ноября 2024
"Коттедж 120 м² на участке 7,5 сот.",6 800 000 ₽,120 м²,"7,5 сот.","СНТ ХотьковоЯрославское шоссе, 49 км",30 мая 14:46
Дом 100 м² на участке 4 сот.,7 100 000 ₽,100 м²,4 сот.,"ТалдомДмитровское шоссе, 92 км",6 декабря 2024
Дом 110 м² на участке 10 сот.,8 550 000 ₽,110 м²,10 сот.,"садовое товарищество Культура-1Ярославское шоссе, 59 км",29 декабря 2024
"Дом 40 м² на участке 6,5 сот.",4 705 000 ₽,40 м²,"6,5 сот.","д. СлепушкиноСимферопольское шоссе, 43 км",3 дня назад
Дом 135 м² на участке 6 сот.,3 850 000 ₽,135 м²,6 сот.,"СНТ ЛотосНовокаширское шоссе, 72 км",24 июня 20:56
"Дом 40,5 м² на участке 7,5 сот.",1 750 000 ₽,"40,5 м²","7,5 сот.","с. ДединовоНоворязанское шоссе, 106 км",5 сентября 2024
Дом 91 м² на участке 12 сот.,5 700 000 ₽,91 м²,12 сот.,"д. МошницыПятницкое шоссе, 51 км",11 апреля 13:17
Дача 80 м² на участке 6 сот.,3 990 000 ₽,80 м²,6 сот.,"садовое товарищество Алмаз-1Егорьевское шоссе, 58 км",7 дней назад
Дом 108 м² на участке 5 сот.,8 500 000 ₽,108 м²,5 сот.,"ДедовскВолоколамское шоссе, 16 км",29 июня 11:36
Дача 76 м² на участке 6 сот.,950 000 ₽,76 м²,6 сот.,"садовое товарищество ЖуравушкаДмитровское шоссе, 82 км",7 августа 16:37
"Дом 402 м² на участке 11,8 сот.",110 000 000 ₽,402 м²,"11,8 сот.","д. ЛызловоРублёво-Успенское шоссе, 14 км",3 недели назад
"Дом 41,1 м² на участке 11 сот.",2 950 000 ₽,"41,1 м²",11 сот.,"с. КомарёвоКаширское шоссе, 94 км",24 июля 11:00
Дом 48 м² на участке 7 сот.,5 000 000 ₽,48 м²,7 сот.,"пгт. Поварово, СНТ ГеофизикЛенинградское шоссе, 31 км",3 недели назад
"Дом 110 м² на участке 5,6 сот.",10 300 000 ₽,110 м²,"5,6 сот.","д. ЧулковоРязанское шоссе, 19 км",7 дней назад
Коттедж 296 м² на участке 10 сот.,24 000 000 ₽,296 м²,10 сот.,"ДомодедовоНовокаширское шоссе, 17 км",3 марта 2023
Дача 70 м² на участке 6 сот.,2 000 000 ₽,70 м²,6 сот.,"СНТ ЭнергостроительЕгорьевское шоссе, 58 км",24 апреля 20:09
Дача 36 м² на участке 3 сот.,3 290 000 ₽,36 м²,3 сот.,"садовое товарищество Вымпел-1Волоколамское шоссе, 17 км",6 августа 13:48
Дом 1800 м² на участке 70 сот.,350 000 000 ₽,1800 м²,70 сот.,"коттеджный пос. Знаменское-1Рублёво-Успенское шоссе, 13 км",10 марта 14:21
"Дом 37,6 м² на участке 12 сот.",1 250 000 ₽,"37,6 м²",12 сот.,"СНТ ПирочиНоворязанское шоссе, 101 км",6 июня 18:23
"Дача 84 м² на участке 8,1 сот.",2 400 000 ₽,84 м²,"8,1 сот.","СНТ КупавнаДмитровское шоссе, 74 км",5 июня 17:30
"Дача 45 м² на участке 7,5 сот.",480 000 ₽,45 м²,"7,5 сот.","СНТ Росинка-5Новорязанское шоссе, 120 км",5 мая 17:47
Дом 120 м² на участке 10 сот.,5 500 000 ₽,120 м²,10 сот.,"ВоскресенскНоворязанское шоссе, 59 км",19 февраля 13:50
Дача 70 м² на участке 8 сот.,2 800 000 ₽,70 м²,8 сот.,"СНТ СигналСимферопольское шоссе, 53 км",2 июня 13:06
Дом 170 м² на участке 8 сот.,33 000 000 ₽,170 м²,8 сот.,"КП Аква ВилладжПятницкое шоссе, 41 км",25 июня 05:23
Дом 110 м² на участке 7 сот.,14 999 000 ₽,110 м²,7 сот.,"д. Барское-МелечкиноЛенинградское шоссе, 50 км",8 июля 16:40
Дом 50 м² на участке 6 сот.,1 350 000 ₽,50 м²,6 сот.,"Клин, СНТСН УрожайЛенинградское шоссе, 72 км",2 августа 17:14
Дом 50 м² на участке 9 сот.,4 500 000 ₽,50 м²,9 сот.,"ЧеховСимферопольское шоссе, 50 км",25 февраля 12:31
"Коттедж 150 м² на участке 7,5 сот.",17 000 000 ₽,150 м²,"7,5 сот.","КП АльбионВолоколамское шоссе, 27 км",10 августа 10:47
Дом 170 м² на участке 6 сот.,17 000 000 ₽,170 м²,6 сот.,"д. Соколово, КП Ново-СоколовоЩёлковское шоссе, 39 км",7 августа 14:38
Дом 80 м² на участке 8 сот.,3 300 000 ₽,80 м²,8 сот.,"д. ВасилёвоНоворязанское шоссе, 34 км",15 июня 2023
Дом 120 м² на участке 1 сот.,8 000 000 ₽,120 м²,1 сот.,"КрасногорскПятницкое шоссе, 5 км",21 мая 14:47
"Дом 104,3 м² на участке 6,5 сот.",13 500 000 ₽,"104,3 м²","6,5 сот.","СНТ АндреевскоеВолоколамское шоссе, 34 км",4 ноября 2023
Дом 92 м² на участке 6 сот.,2 950 000 ₽,92 м²,6 сот.,"СНТ БерёзкиВолоколамское шоссе, 44 км",5 августа 20:33
"Дача 40 м² на участке 7,5 сот.",1 350 000 ₽,40 м²,"7,5 сот.","РошальЕгорьевское шоссе, 128 км",30 июля 18:04
Дача 36 м² на участке 6 сот.,630 000 ₽,36 м²,6 сот.,"СНТ АлфёровскоеНоворязанское шоссе, 119 км",5 июня 13:10
Дом 85 м² на участке 5 сот.,3 745 000 ₽,85 м²,5 сот.,"дп. БережкиПятницкое шоссе, 44 км",23 ноября 2024
"Коттедж 120 м² на участке 7,5 сот.",6 800 000 ₽,120 м²,"7,5 сот.","СНТ ХотьковоЯрославское шоссе, 49 км",30 мая 14:46
Дом 100 м² на участке 4 сот.,7 100 000 ₽,100 м²,4 сот.,"ТалдомДмитровское шоссе, 92 км",6 декабря 2024
Дом 110 м² на участке 10 сот.,8 550 000 ₽,110 м²,10 сот.,"садовое товарищество Культура-1Ярославское шоссе, 59 км",29 декабря 2024
"Дом 40 м² на участке 6,5 сот.",4 705 000 ₽,40 м²,"6,5 сот.","д. СлепушкиноСимферопольское шоссе, 43 км",3 дня назад
Дом 135 м² на участке 6 сот.,3 850 000 ₽,135 м²,6 сот.,"СНТ ЛотосНовокаширское шоссе, 72 км",24 июня 20:56
"Дом 40,5 м² на участке 7,5 сот.",1 750 000 ₽,"40,5 м²","7,5 сот.","с. ДединовоНоворязанское шоссе, 106 км",5 сентября 2024
Дом 91 м² на участке 12 сот.,5 700 000 ₽,91 м²,12 сот.,"д. МошницыПятницкое шоссе, 51 км",11 апреля 13:17
Дача 80 м² на участке 6 сот.,3 990 000 ₽,80 м²,6 сот.,"садовое товарищество Алмаз-1Егорьевское шоссе, 58 км",7 дней назад
Дом 108 м² на участке 5 сот.,8 500 000 ₽,108 м²,5 сот.,"ДедовскВолоколамское шоссе, 16 км",29 июня 11:36
Дача 76 м² на участке 6 сот.,950 000 ₽,76 м²,6 сот.,"садовое товарищество ЖуравушкаДмитровское шоссе, 82 км",7 августа 16:37
"Дом 402 м² на участке 11,8 сот.",110 000 000 ₽,402 м²,"11,8 сот.","д. ЛызловоРублёво-Успенское шоссе, 14 км",3 недели назад
"Дом 41,1 м² на участке 11 сот.",2 950 000 ₽,"41,1 м²",11 сот.,"с. КомарёвоКаширское шоссе, 94 км",24 июля 11:00
Дом 48 м² на участке 7 сот.,5 000 000 ₽,48 м²,7 сот.,"пгт. Поварово, СНТ ГеофизикЛенинградское шоссе, 31 км",3 недели назад
"Дом 110 м² на участке 5,6 сот.",10 300 000 ₽,110 м²,"5,6 сот.","д. ЧулковоРязанское шоссе, 19 км",7 дней назад
Коттедж 296 м² на участке 10 сот.,24 000 000 ₽,296 м²,10 сот.,"ДомодедовоНовокаширское шоссе, 17 км",3 марта 2023
Дача 70 м² на участке 6 сот.,2 000 000 ₽,70 м²,6 сот.,"СНТ ЭнергостроительЕгорьевское шоссе, 58 км",24 апреля 20:09
"Коттедж 95 м² на участке 1,1 сот.",8 800 000 ₽,95 м²,"1,1 сот.","ПушкиноЯрославское шоссе, 14 км",26 июля 16:25
"Дом 89,4 м² на участке 5,3 сот.",9 300 000 ₽,"89,4 м²","5,3 сот.","ЩёлковоЩёлковское шоссе, 15 км",18 сентября 2024
Дом 101 м² на участке 18 сот.,2 150 000 ₽,101 м²,18 сот.,"д. ДавыдовскаяЕгорьевское шоссе, 70 км",13 июня 2024
Дом 108 м² на участке 4 сот.,7 490 000 ₽,108 м²,4 сот.,"д. ПавловскоеВолоколамское шоссе, 28 км",3 апреля 14:34
Дом 50 м² на участке 12 сот.,2 600 000 ₽,50 м²,12 сот.,"пос. ПескиНоворязанское шоссе, 78 км",10 марта 11:43
Дом 90 м² на участке 6 сот.,3 950 000 ₽,90 м²,6 сот.,"д. СемёнковоЯрославское шоссе, 68 км",25 февраля 23:06
Дом 200 м² на участке 20 сот.,5 900 000 ₽,200 м²,20 сот.,"садовое товарищество ЗамоскворечьеКиевское шоссе, 50 км",10 августа 02:20
Дом 70 м² на участке 15 сот.,2 760 000 ₽,70 м²,15 сот.,"д. ЗолотовоЕгорьевское шоссе, 50 км",29 июня 15:18
"Дом 78 м² на участке 14,3 сот.",2 900 000 ₽,78 м²,"14,3 сот.","д. МисцевоЕгорьевское шоссе, 82 км",31 мая 15:36
"Дом 173,3 м² на участке 10 сот.",10 300 000 ₽,"173,3 м²",10 сот.,"Наро-ФоминскКиевское шоссе, 56 км",8 мая 14:59
"Дом 92 м² на участке 7,5 сот.",5 000 000 ₽,92 м²,"7,5 сот.","коттеджный пос. ЗемлякиДмитровское шоссе, 37 км",22 марта 19:35
Дом 496 м² на участке 22 сот.,15 500 000 ₽,496 м²,22 сот.,"СНТ Локомотив-3Пятницкое шоссе, 29 км",13 июля 12:40
Дом 92 м² на участке 9 сот.,4 990 000 ₽,92 м²,9 сот.,"д. Лисавино, ЛПХ ЛисавиноПятницкое шоссе, 28 км",14 мая 16:29
"Дом 181 м² на участке 6,8 сот.",13 680 000 ₽,181 м²,"6,8 сот.","с. Зелёная СлободаНоворязанское шоссе, 17 км",1 неделю назад
"Дом 40 м² на участке 6,5 сот.",4 705 000 ₽,40 м²,"6,5 сот.","д. СлепушкиноСимферопольское шоссе, 43 км",3 дня назад
Дом 135 м² на участке 6 сот.,3 850 000 ₽,135 м²,6 сот.,"СНТ ЛотосНовокаширское шоссе, 72 км",24 июня 20:56
"Дом 40,5 м² на участке 7,5 сот.",1 750 000 ₽,"40,5 м²","7,5 сот.","с. ДединовоНоворязанское шоссе, 106 км",5 сентября 2024
Дом 91 м² на участке 12 сот.,5 700 000 ₽,91 м²,12 сот.,"д. МошницыПятницкое шоссе, 51 км",11 апреля 13:17
Дача 80 м² на участке 6 сот.,3 990 000 ₽,80 м²,6 сот.,"садовое товарищество Алмаз-1Егорьевское шоссе, 58 км",7 дней назад
Дом 108 м² на участке 5 сот.,8 500 000 ₽,108 м²,5 сот.,"ДедовскВолоколамское шоссе, 16 км",29 июня 11:36
Дача 76 м² на участке 6 сот.,950 000 ₽,76 м²,6 сот.,"садовое товарищество ЖуравушкаДмитровское шоссе, 82 км",7 августа 16:37
